agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|prom_lect4b_reg|prom_mate4b_reg|dif_lect4b_reg|dif_mate4b_reg|sigdif_lect4b_reg|sigdif_mate4b_reg
2016|final20171024v1|20171024|4b|1|REGIÓN DE TARAPACÁ|264|256|3|4|No significativa|No significativa
2016|final20171024v1|20171024|4b|2|REGIÓN DE ANTOFAGASTA|267|261|3|4|No significativa|No significativa
2016|final20171024v1|20171024|4b|3|REGIÓN DE ATACAMA|266|257|8|11|Positiva y significativa|Positiva y significativa
2016|final20171024v1|20171024|4b|4|REGIÓN DE COQUIMBO|267|259|2|2|No significativa|No significativa
2016|final20171024v1|20171024|4b|5|REGIÓN DE VALPARAÍSO|263|259|0|2|No significativa|No significativa
2016|final20171024v1|20171024|4b|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|265|259|1|0|No significativa|No significativa
2016|final20171024v1|20171024|4b|7|REGIÓN DEL MAULE|269|266|2|2|No significativa|No significativa
2016|final20171024v1|20171024|4b|8|REGIÓN DEL BIOBÍO|267|263|1|1|No significativa|No significativa
2016|final20171024v1|20171024|4b|9|REGIÓN DE LA ARAUCANÍA|266|255|2|1|No significativa|No significativa
2016|final20171024v1|20171024|4b|10|REGIÓN DE LOS LAGOS|268|259|1|1|No significativa|No significativa
2016|final20171024v1|20171024|4b|11|REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|260|252|-2|-4|No significativa|No significativa
2016|final20171024v1|20171024|4b|12|REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|266|257|1|-2|No significativa|No significativa
2016|final20171024v1|20171024|4b|13|REGIÓN METROPOLITANA|268|266|1|2|No significativa|No significativa
2016|final20171024v1|20171024|4b|14|REGIÓN DE LOS RÍOS|268|256|4|5|No significativa|No significativa
2016|final20171024v1|20171024|4b|15|REGIÓN ARICA - PARINACOTA|274|270|5|5|No significativa|No significativa
